Support Library class,Android X class,Similarity,Support,AndroidX,Percentage
android.support.v4.view.WindowInsetsCompat,androidx.core.view.WindowInsetsCompat,0.6967,13,5286,0.25%
android.support.v7.view.menu.MenuItemImpl,androidx.appcompat.view.menu.MenuItemImpl,1,13,5231,0.25%
android.support.constraint.Guideline,androidx.constraintlayout.widget.Guideline,0.9484,12,1117,1.07%
android.support.v7.graphics.drawable.DrawableWrapper,androidx.appcompat.graphics.drawable.DrawableWrapper,-1,12,4702,0.26%
android.support.v7.preference.ListPreference,androidx.preference.ListPreference,0.9883,12,803,1.49%
android.support.v7.view.menu.MenuBuilder,androidx.appcompat.view.menu.MenuBuilder,1,12,5105,0.24%
android.support.v7.widget.AppCompatDrawableManager,androidx.appcompat.widget.AppCompatDrawableManager,0.9006,12,5369,0.22%
android.support.v4.app.ActionBarDrawerToggle,androidx.legacy.app.ActionBarDrawerToggle,1,11,23,47.83%
android.support.v4.os.EnvironmentCompat,androidx.core.os.EnvironmentCompat,0.9906,11,194,5.67%
android.support.v4.text.TextDirectionHeuristicsCompat,androidx.core.text.TextDirectionHeuristicsCompat,1,11,5160,0.21%
android.support.v4.view.accessibility.AccessibilityRecordCompat,androidx.core.view.accessibility.AccessibilityRecordCompat,0.9993,11,244,4.51%
android.support.v4.view.NestedScrollingParentHelper,androidx.core.view.NestedScrollingParentHelper,0.972,11,352,3.12%
android.support.v7.graphics.Palette,androidx.palette.graphics.Palette,1,11,241,4.56%
android.support.transition.TransitionManager,androidx.transition.TransitionManager,0.9997,10,5180,0.19%
android.support.v4.app.FrameMetricsAggregator,androidx.core.app.FrameMetricsAggregator,0.9999,10,1481,0.68%
android.support.v4.view.accessibility.AccessibilityManagerCompat,androidx.core.view.accessibility.AccessibilityManagerCompat,0.9771,10,1638,0.61%
android.support.v4.view.GravityCompat,androidx.core.view.GravityCompat,0.9984,10,5090,0.2%
android.support.v4.view.ViewPropertyAnimatorListenerAdapter,androidx.core.view.ViewPropertyAnimatorListenerAdapter,1,10,529,1.89%
android.support.v7.preference.TwoStatePreference,androidx.preference.TwoStatePreference,0.999,10,773,1.29%
android.support.v7.widget.DrawableUtils,androidx.appcompat.widget.DrawableUtils,0.9093,10,5348,0.19%
android.support.v4.app.FragmentTabHost,androidx.fragment.app.FragmentTabHost,0.9994,9,97,9.28%
android.support.v4.graphics.drawable.IconCompat,androidx.core.graphics.drawable.IconCompat,0.9625,9,3043,0.3%
android.support.v4.os.ConfigurationCompat,androidx.core.os.ConfigurationCompat,0.9838,9,4452,0.2%
android.support.v4.os.LocaleListCompat,androidx.core.os.LocaleListCompat,0.935,9,4554,0.2%
android.support.v4.util.Preconditions,androidx.core.util.Preconditions,0.9607,9,4805,0.19%
android.support.v4.view.accessibility.AccessibilityNodeProviderCompat,androidx.core.view.accessibility.AccessibilityNodeProviderCompat,0.9904,9,168,5.36%
android.support.v4.widget.Space,androidx.legacy.widget.Space,1,9,719,1.25%
android.support.v7.text.AllCapsTransformationMethod,androidx.appcompat.text.AllCapsTransformationMethod,1,9,60,15.0%
android.support.v7.widget.AppCompatCheckedTextView,androidx.appcompat.widget.AppCompatCheckedTextView,0.8228,9,530,1.7%
android.support.transition.Transition,androidx.transition.Transition,0.9998,8,5896,0.14%
android.support.v4.text.TextDirectionHeuristicCompat,androidx.core.text.TextDirectionHeuristicCompat,1,8,5087,0.16%
android.support.v7.view.SupportMenuInflater,androidx.appcompat.view.SupportMenuInflater,0.9928,8,5049,0.16%
android.support.v7.widget.ActionMenuPresenter,androidx.appcompat.widget.ActionMenuPresenter,0.9997,8,419,1.91%
