support,androidx,similarity,manual check
android.support.media2.BaseRemoteMediaPlayerConnector,kotlin.jvm.internal.InlineMarker,55.31%,0
android.support.wearable.watchface.decomposition.BaseComponent,androidx.autofill.inline.common.ViewStyle,55.31%,0
android.support.test.internal.runner.junit3.NoExecTestSuite,androidx.test.internal.runner.junit3.NonExecutingTestSuite,55.43%,0
android.support.wearable.view.ProgressDrawable,androidx.ui.graphics.AndroidCanvas,55.48%,0
android.support.design.widget.ViewOffsetBehavior,androidx.wear.tiles.renderer.RatioViewWrapper,55.63%,0
android.support.wearable.view.ActionChooserView,androidx.ui.material.SliderKt,55.98%,0
android.support.design.circularreveal.CircularRevealHelper,androidx.ui.graphics.AndroidCanvas,56.03%,0
android.support.media2.UriDataSourceDesc2,androidx.media2.UriMediaItem,56.08%,0
android.support.design.widget.ShadowViewDelegate,androidx.core.view.NestedScrollingChild3,56.10%,0
android.support.v4.graphics.drawable.IconCompatParcelizer,androidx.core.graphics.drawable.IconCompatParcelizer,56.12%,1
android.support.v4.media.MediaDescriptionCompat,androidx.media2.session.MediaUtils,56.33%,0
android.support.media2.FileDataSourceDesc2,androidx.media3.exoplayer.rtsp.reader.RtpReaderUtils,56.33%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.FluentFuture,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.Futures,56.52%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.FluentFuture,androidx.test.espresso.web.internal.deps.guava.util.concurrent.Futures,56.52%,0
android.support.v4.media.session.MediaControllerCompat,androidx.media2.session.SessionToken,56.65%,0
android.support.design.widget.DrawableUtils,androidx.test.internal.util.AndroidRunnerBuilderUtil,56.77%,0
android.support.wearable.preference.AcceptDenySwitchPreference,androidx.window.embedding.SplitRuleParser,56.94%,0
android.support.design.bottomnavigation.LabelVisibilityMode,androidx.compose.runtime.BitwiseOperatorsKt,57.13%,0
android.support.wearable.watchface.decomposition.CustomFontComponent,androidx.core.view.accessibility.AccessibilityViewCommand,57.18%,0
android.support.wearable.watchface.decomposition.NumberComponent,androidx.core.view.accessibility.AccessibilityViewCommand,57.34%,0
android.support.v4.media.session.PlaybackStateCompatApi22,androidx.ui.material.ColorKt,57.41%,0
android.support.wearable.view.drawer.WearableActionDrawer,androidx.slice.widget.SliceViewUtil,57.44%,0
android.support.wearable.watchface.decomposition.ColorNumberComponent,androidx.core.view.accessibility.AccessibilityViewCommand,57.47%,0
android.support.design.animation.AnimationUtils,androidx.animation.AnimationVectorsKt,57.50%,0
android.support.wearable.watchface.decomposition.ImageComponent,androidx.core.view.accessibility.AccessibilityViewCommand,57.55%,0
android.support.media2.MediaSession2ImplBase,androidx.wear.watchface.style.UserStyleSetting,57.69%,0
android.support.design.bottomappbar.BottomAppBar,androidx.compose.ui.text.android.style.IndentationFixSpan,57.85%,0
android.support.design.chip.ChipGroup,androidx.wear.protolayout.protobuf.CodedOutputStream,57.87%,0
android.support.media2.DataSourceDesc2,androidx.media3.exoplayer.rtsp.reader.RtpReaderUtils,57.87%,0
android.support.media2.SessionToken2,androidx.media2.session.SessionToken,57.97%,0
android.support.design.widget.TextInputLayout,androidx.media3.extractor.NalUnitUtil,58.00%,0
android.support.wearable.internal.view.drawer.SinglePageUi,androidx.wear.protolayout.protobuf.CodedOutputStream,58.14%,0
android.support.wearable.view.Gusterpolator,androidx.ui.core.DrawLayerModifierKt,58.21%,0
android.support.wearable.view.FragmentGridPagerAdapter,kotlin.collections.builders.ListBuilderKt,58.28%,0
android.support.wearable.internal.view.drawer.MultiPageUi,androidx.databinding.adapters.ViewBindingAdapter,58.33%,0
android.support.design.theme.MaterialComponentsViewInflater,io.grpc.CallCredentials,58.41%,0
android.support.wearable.watchface.decomposition.FontComponent,androidx.core.view.accessibility.AccessibilityViewCommand,58.49%,0
android.support.wearable.view.drawer.WearableDrawerLayout,androidx.fragment.app.FragmentAnim,58.53%,0
android.support.design.widget.IndicatorViewController,androidx.databinding.adapters.TextViewBindingAdapter,58.73%,0
android.support.design.resources.TextAppearance,androidx.slice.widget.SliceViewUtil,58.85%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.TimeoutFuture,androidx.tracing.perfetto.PerfettoHandshake,58.98%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.TimeoutFuture,androidx.tracing.perfetto.PerfettoHandshake,58.98%,0
android.support.wearable.preference.WearableDialogPreference,androidx.slice.widget.SliceViewUtil,59.06%,0
android.support.wearable.view.CardFragment,androidx.compose.ui.text.android.PaintExtensionsKt,59.17%,0
android.support.design.widget.CircularBorderDrawable,androidx.compose.ui.text.android.style.IndentationFixSpan,59.39%,0
android.support.wearable.view.FullscreenFragmentHelper,androidx.preference.PreferenceHeaderFragmentCompat,59.45%,0
android.support.v4.media.session.MediaSessionCompatApi24,androidx.navigation.NavType,59.64%,0
android.support.wearable.internal.view.SwipeDismissLayout,androidx.ui.material.SliderKt,59.68%,0
android.support.media2.MediaLibraryService2,androidx.browser.trusted.TrustedWebActivityServiceConnection,59.84%,0
android.support.design.internal.BottomNavigationItemView,androidx.databinding.adapters.TextViewBindingAdapter,59.95%,0
android.support.wearable.watchface.decompositionface.GlyphDrawable,androidx.slice.widget.SliceViewUtil,60.01%,0
android.support.wearable.view.BackgroundController,androidx.wear.compose.material.ScalingLazyColumnMeasureKt,60.11%,0
